fuel_type,salt_type,U235F4_mole_frac,UF4_mole_frac,pitch,Tave_fuel,mod_salt_ratio,k_inf,conversion_ratio,fast_flux_graph,feedback_doppler,labels
1.0,1.0,5.0,10.0,1.0,900.0,0.274,0.632067,1.80886,17.5183,0.0,13
1.0,1.0,5.0,10.0,12.25,900.0,0.274,0.831516,1.22121,47.371,0.0,19
2.0,1.0,5.0,10.0,12.25,900.0,2.8205,0.280685,6.005,75.4339,0.0,16
2.0,1.0,5.0,90.0,12.25,900.0,2.8205,0.947674,1.01921,79.3638,0.0,16
2.0,1.0,11.0,90.0,12.25,1000.0,2.8205,1.14023,0.631703,74.0456,-7.0,16
2.0,2.0,11.0,90.0,12.25,1000.0,2.8205,1.09677,0.654829,73.3601,-4.27,2
2.0,3.0,11.0,90.0,12.25,1000.0,2.8205,0.878918,0.908237,46.1477,-2.914,14
2.0,1.0,11.0,90.0,16.0,1000.0,2.8205,1.16936,0.594198,78.5242,-0.71,16
2.0,2.0,11.0,90.0,16.0,1000.0,2.8205,1.12725,0.608451,78.8334,0.32,2
2.0,3.0,11.0,90.0,16.0,1000.0,2.8205,0.883138,0.891902,48.2436,-1.312,14
2.0,1.0,11.0,90.0,1.0,1000.0,5.367,0.893066,0.944387,68.3689,-4.737,13
2.0,2.0,11.0,90.0,1.0,1000.0,5.367,0.848465,1.01082,60.8471,-2.554,12
2.0,3.0,11.0,90.0,1.0,1000.0,5.367,0.829333,0.999313,62.0774,-5.589,12
2.0,1.0,11.0,90.0,4.75,1000.0,5.367,1.08575,0.696038,72.8224,0.44,13
2.0,2.0,5.0,90.0,12.25,900.0,2.8205,0.882578,1.07904,79.7981,0.0,2
2.0,2.0,11.0,90.0,4.75,1000.0,5.367,1.02357,0.742875,66.6765,6.73,12
2.0,3.0,11.0,90.0,4.75,1000.0,5.367,0.863906,0.875346,66.9108,-2.956,12
2.0,1.0,11.0,90.0,8.5,1000.0,5.367,1.17168,0.594757,81.7531,2.68,13
2.0,2.0,11.0,90.0,8.5,1000.0,5.367,1.10949,0.638628,78.4184,-2.54,12
2.0,3.0,11.0,90.0,8.5,1000.0,5.367,0.886737,0.821758,66.4091,-0.721,12
2.0,1.0,11.0,90.0,12.25,1000.0,5.367,1.20718,0.54919,86.4319,-3.57,16
2.0,2.0,11.0,90.0,12.25,1000.0,5.367,1.15729,0.572712,86.1164,4.35,2
2.0,3.0,11.0,90.0,12.25,1000.0,5.367,0.893379,0.81779,63.7637,-0.785,3
2.0,1.0,11.0,90.0,16.0,1000.0,5.367,1.21929,0.534674,88.7967,-1.01,16
2.0,2.0,11.0,90.0,16.0,1000.0,5.367,1.16775,0.554684,88.6076,-1.13,2
2.0,3.0,5.0,90.0,12.25,900.0,2.8205,0.569045,1.93203,49.3317,0.0,14
2.0,3.0,11.0,90.0,16.0,1000.0,5.367,0.893605,0.822359,61.7704,-0.309,3
2.0,1.0,11.0,90.0,1.0,1000.0,7.9135,0.943092,0.862287,85.5469,-2.492,13
2.0,2.0,11.0,90.0,1.0,1000.0,7.9135,0.890801,0.924632,76.6764,2.249,12
2.0,3.0,11.0,90.0,1.0,1000.0,7.9135,0.819668,0.98151,77.4695,-5.423,12
2.0,1.0,11.0,90.0,4.75,1000.0,7.9135,1.16238,0.597341,87.1404,1.48,13
2.0,2.0,11.0,90.0,4.75,1000.0,7.9135,1.08365,0.658824,79.9443,2.49,12
2.0,3.0,11.0,90.0,4.75,1000.0,7.9135,0.87536,0.782977,83.0523,0.021,12
2.0,1.0,11.0,90.0,8.5,1000.0,7.9135,1.22204,0.534902,91.3342,-2.76,13
2.0,2.0,11.0,90.0,8.5,1000.0,7.9135,1.15885,0.577416,88.4401,-1.36,12
2.0,3.0,11.0,90.0,8.5,1000.0,7.9135,0.89724,0.752004,79.4613,-2.372,12
2.0,1.0,5.0,90.0,16.0,900.0,2.8205,0.9763,0.954384,83.0633,0.0,16
2.0,1.0,11.0,90.0,12.25,1000.0,7.9135,1.2492,0.506335,95.2438,0.22,16
2.0,2.0,11.0,90.0,12.25,1000.0,7.9135,1.19479,0.528704,93.7121,5.25,2
2.0,3.0,11.0,90.0,12.25,1000.0,7.9135,0.903675,0.752734,76.4367,-0.493,3
2.0,1.0,11.0,90.0,16.0,1000.0,7.9135,1.24264,0.498399,95.0442,-5.03,16
2.0,2.0,11.0,90.0,16.0,1000.0,7.9135,1.19059,0.528142,94.2987,-1.14,2
2.0,3.0,11.0,90.0,16.0,1000.0,7.9135,0.900136,0.781056,71.5647,1.572,3
2.0,1.0,11.0,90.0,1.0,1000.0,10.46,0.991892,0.78828,98.5899,-4.117,13
2.0,2.0,11.0,90.0,1.0,1000.0,10.46,0.928374,0.853701,89.9055,-0.0869999999999,12
2.0,3.0,11.0,90.0,1.0,1000.0,10.46,0.813293,0.93836,89.6296,-6.755,12
2.0,1.0,11.0,90.0,4.75,1000.0,10.46,1.21651,0.53343,98.9609,-1.92,13
2.0,2.0,5.0,90.0,16.0,900.0,2.8205,0.90045,1.03115,82.9145,0.0,2
2.0,2.0,11.0,90.0,4.75,1000.0,10.46,1.13755,0.600429,91.6371,7.52,12
2.0,3.0,11.0,90.0,4.75,1000.0,10.46,0.885826,0.728467,95.0366,-0.085,12
2.0,1.0,11.0,90.0,8.5,1000.0,10.46,1.26776,0.488056,99.5275,0.68,13
2.0,2.0,11.0,90.0,8.5,1000.0,10.46,1.19712,0.53415,95.8894,4.16,12
2.0,3.0,11.0,90.0,8.5,1000.0,10.46,0.907949,0.689416,90.8814,-1.496,12
2.0,1.0,11.0,90.0,12.25,1000.0,10.46,1.27263,0.471962,100.446,-1.89,16
2.0,2.0,11.0,90.0,12.25,1000.0,10.46,1.21423,0.50262,98.4861,1.89,2
2.0,3.0,11.0,90.0,12.25,1000.0,10.46,0.908592,0.71803,83.7167,-2.762,3
2.0,1.0,11.0,90.0,16.0,1000.0,10.46,1.2591,0.483634,98.6826,-1.76,16
2.0,2.0,11.0,90.0,16.0,1000.0,10.46,1.20262,0.504766,98.0018,-2.85,2
2.0,3.0,5.0,90.0,16.0,900.0,2.8205,0.57315,1.88111,55.0537,0.0,14
2.0,3.0,11.0,90.0,16.0,1000.0,10.46,0.90224,0.745664,75.5116,-2.386,3
3.0,1.0,11.0,90.0,1.0,1000.0,0.274,1.20627,0.510067,13.9308,-4.02,10
3.0,2.0,11.0,90.0,1.0,1000.0,0.274,1.18888,0.516072,11.6984,-3.64,10
3.0,3.0,11.0,90.0,1.0,1000.0,0.274,1.38172,0.501146,11.765,-5.29,17
3.0,1.0,11.0,90.0,4.75,1000.0,0.274,1.21413,0.506789,14.5557,-1.13,10
3.0,2.0,11.0,90.0,4.75,1000.0,0.274,1.19326,0.515336,12.0179,-3.59,10
3.0,3.0,11.0,90.0,4.75,1000.0,0.274,1.39813,0.486954,11.3934,-2.47,17
3.0,1.0,11.0,90.0,8.5,1000.0,0.274,1.22074,0.49777,16.8468,-3.99,10
3.0,2.0,11.0,90.0,8.5,1000.0,0.274,1.20349,0.499742,14.5456,-3.19,10
3.0,3.0,11.0,90.0,8.5,1000.0,0.274,1.40556,0.482557,10.2102,-1.73,17
2.0,1.0,5.0,90.0,1.0,900.0,5.367,0.68797,1.64914,72.6741,0.0,10
3.0,1.0,11.0,90.0,12.25,1000.0,0.274,1.23633,0.482146,21.8097,-6.92,10
3.0,2.0,11.0,90.0,12.25,1000.0,0.274,1.21843,0.488908,21.5994,-1.01,10
3.0,3.0,11.0,90.0,12.25,1000.0,0.274,1.41069,0.480381,8.50857,-1.88,17
3.0,1.0,11.0,90.0,16.0,1000.0,0.274,1.25962,0.459015,30.8678,-2.2,10
